id;nombre
950;OVEJAS
951;PALMITO
952;SAMPUES
953;SAN BENITO ABAD
954;SAN JUAN DE BETULIA
955;SAN MARCOS
956;SAN ONOFRE
957;SAN PEDRO
958;SINCE
959;SUCRE
960;TOLU
961;TOLUVIEJO
962;IBAGUE
963;ALPUJARRA
964;ALVARADO
965;AMBALEMA
966;ANZOATEGUI
967;ARMERO (GUAYABAL)
968;ATACO
969;CAJAMARCA
970;CARMEN APICALA
971;CASABIANCA
972;CHAPARRAL
973;COELLO
974;COYAIMA
975;CUNDAY
976;DOLORES
977;ESPINAL
978;FALAN
979;FLANDES
980;FRESNO
981;GUAMO
982;HERVEO
983;HONDA
984;ICONONZO
985;LERIDA
986;LIBANO
987;MARIQUITA
988;MELGAR
989;MURILLO
990;NATAGAIMA
991;ORTEGA
992;PALOCABILDO
993;PIEDRAS
994;PLANADAS
995;PRADO
996;PURIFICACION
997;RIOBLANCO
998;RONCESVALLES
999;ROVIRA
1000;SALDAÑA
1001;SAN ANTONIO
1002;SAN LUIS
1003;SANTA ISABEL
1004;SUAREZ
1005;VALLE DE SAN JUAN
1006;VENADILLO
1007;VILLAHERMOSA
1008;VILLARRICA
1009;CALI (SANTIAGO DE CALI)
1010;ALCALA
1011;ANDALUCIA
1012;ANSERMANUEVO
1013;ARGELIA
1014;BOLIVAR
1015;BUENAVENTURA
1016;BUGA
1017;BUGALAGRANDE
1018;CAICEDONIA
1019;CALIMA (DARIEN)
1020;CANDELARIA
1021;CARTAGO
1022;DAGUA
1023;EL AGUILA
1024;EL CAIRO
1025;EL CERRITO
1026;EL DOVIO
1027;FLORIDA
1028;GINEBRA
1029;GUACARI
1030;JAMUNDI
1031;LA CUMBRE
1032;LA UNION
1033;LA VICTORIA
1034;OBANDO
1035;PALMIRA
1036;PRADERA
1037;RESTREPO
1038;RIOFRIO
1039;ROLDANILLO
1040;SAN PEDRO
1041;SEVILLA
1042;TORO
1043;TRUJILLO
1044;TULUA
1045;ULLOA
1046;VERSALLES
1047;VIJES
1048;YOTOCO
1049;YUMBO
1050;ZARZAL
1051;ARAUCA
1052;ARAUQUITA
1053;CRAVO NORTE
1054;FORTUL
1055;PUERTO RONDON
1056;SARAVENA
1057;TAME
1058;YOPAL
1059;AGUAZUL
1060;CHAMEZA
1061;HATO COROZAL
1062;LA SALINA
1063;MANI
1064;MONTERREY
1065;NUNCHIA
1066;OROCUE
1067;PAZ DE ARIPORO
1068;PORE
1069;RECETOR
1070;SABANALARGA
1071;SACAMA
1072;SAN LUIS DE PALENQUE
1073;TAMARA
1074;TAURAMENA
1075;TRINIDAD
1076;VILLANUEVA
1077;MOCOA
1078;COLON
1079;ORITO
1080;PUERTO ASIS
1081;PUERTO CAICEDO
1082;PUERTO GUZMAN
1083;PUERTO LEGUIZAMO
1084;SIBUNDOY
1085;SAN FRANCISCO
1086;SAN MIGUEL (LA DORADA)
1087;SANTIAGO
1088;LA HORMIGA (VALLE DEL GUAMUEZ)
1089;VILLAGARZON
1090;SAN ANDRES
1091;PROVIDENCIA
1092;LETICIA
1093;EL ENCANTO
1094;LA CHORRERA
1095;LA PEDRERA
1096;LA VICTORIA
1097;MIRITI-PARANA
1098;PUERTO ALEGRIA
1099;PUERTO ARICA
1100;PUERTO NARIÑO
1101;PUERTO SANTANDER
1102;TARAPACA
1103;PUERTO INIRIDA
1104;BARRANCO MINAS
1105;SAN FELIPE
1106;PUERTO COLOMBIA
1107;LA GUADALUPE
1108;CACAHUAL
1109;PANA PANA (CAMPO ALEGRE)
1110;MORICHAL (MORICHAL NUEVO)
1111;SAN JOSE DEL GUAVIARE
1112;CALAMAR
1113;EL RETORNO
1114;MIRAFLORES
1115;MITU
1116;CARURU
1117;PACOA
1118;TARAIRA
1119;PAPUNAUA (MORICHAL)
1120;YAVARATE
1121;PUERTO CARREÑO
1122;LA PRIMAVERA
1123;SANTA RITA
1124;SANTA ROSALIA
1125;SAN JOSE DE OCUNE
1126;CUMARIBO
